Twitter Search Rule: #BlackHistoryMonth lang:en min_retweets:500,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio,Profile Image,Google Maps
1/31/2016,@dopexteen1,✨,Never Forget🙏🏾✊🏾 #BlackHistoryMonth https://t.co/ZkRUvK9szh,693987632318025728,Twitter for iPhone,21240,17787,1629,1091,No,7/19/2014,Chicago,Chicago Photographer. Founder of DH Productions. IG: dhproductionsss// dopexteen,View,
2/1/2016,@thetrudz,Trudy,Happy #BlackHistoryMonth!✊🏿❤️ https://t.co/qurruqoaXc,694040553428762624,Twitter for iPhone,41708,1065,5315,3362,No,4/16/2009,Gargantua,"Creator of @GradientLair, @driftsojourn, @Cinemacked. Author. Writer. Photographer. Curator. Social Critic. Bibliophile. Womanist. INTJ. https://t.co/Tm7kmB4jJO",View,
2/1/2016,@LookAtDustin,You Know My Name,Happy #BlackHistoryMonth https://t.co/L50Is5JZrS,694050089246015489,Twitter for iPhone,21832,999,2072,1245,No,3/3/2009,NYC,@FriendZonePod EVERY WEDNESDAY on iTunes/SoundCloud. Tweets for the 99 & the 2000. My tombstone will say THIS SOME BULLSHIT. Email: DustinRossSaid@gmail.com,View,
2/1/2016,@play_on_verbs,Yung Shrimp Scampi,Happy #BlackHistoryMonth https://t.co/jZf3KKbdGj,694122723455295488,Echofon,1182,658,1383,1010,No,6/8/2013,Highten View Terrace,an aspiring sci-fro/fantasy writer currently training in brevity. i blerd out with my words out.,View,
2/1/2016,@RevrendDoctor,Still I Dab.,"Today marks the first day of #BlackHistoryMonth, so for the next 29 days, everyone else... https://t.co/tG7GD2z5fH",694130405566496768,Twitter for iPhone,3174,835,1211,866,No,2/26/2009,Boston ,Morehouse '12. @bpcatorg co-organizer. Taking destiny with me wherever I go.,View,
2/1/2016,@deray,deray mckesson,"Google's #BlackHistoryMonth Doodle, Douglass. https://t.co/B7V1Thm8XU",694143232419196929,Twitter for iPhone,302897,888,704,799,No,4/7/2009,,"I will never betray my heart. Baltimore Mayoral Candidate, Curator, connector. TFA. Educator. Bowdoin alum. Protestor. deray@thisisthemovement.org.",View,
2/1/2016,@norm,Norm Kelly,2016 marks the 20th anniversary since #BlackHistoryMonth was first officially celebrated in Canada.,694144733199773696,Twitter for iPhone,265116,902,602,1094,No,7/6/2010,Toronto ,"City of Toronto Councillor, Ward 40 Mrs. Kelly's Favourite Son",View,
2/1/2016,@__MZA__,✨Yung Hot✨,Happy #BlackHistoryMonth here's the only gif you need my sistas and brothaas ✊🏽✊🏾✊🏿 https://t.co/UF6PKVZzaj,694145698854473728,Twitter for iPhone,677,595,623,394,No,8/1/2012,PG County,Susie Carmichael's dad a.k.a. ✨Yung Hot✨ DMV #NCCU19 ⎮NCCU Men's Basketball Manager ⎮KULTURE RDU,View,
2/1/2016,@ETHlOBABE,sof,Emperor Haile Selassie was the first black man to ever grace the cover of Time Magazine in 1930 #BlackHistoryMonth https://t.co/TzUPTnkbsC,694150043192811520,Twitter Web Client,990,577,1172,871,No,8/23/2014,north texas,,View,
2/1/2016,@farwzaz,farwz,black history didn't start with slavery and racism didn't die with MLK Jr. #blackhistorymonth,694152457778249728,Twitter for iPhone,20392,346,828,717,No,6/28/2012,NY ,#blacklivesmatter #Shiagenocide,View,
2/1/2016,@karrry_,K a r i o.,Happy #BlackHistoryMonth ✊🏽✊🏾✊🏿 https://t.co/5QAZy9o4I1,694157851158155265,Tweetbot for iΟS,2457,692,751,473,No,7/20/2009,Ridin' Thru T e x a s.,https://t.co/ubeDmpRS2P Instagram : karrry_ RIP @BrandoSays,View,
